Link,Rodzaj (nośnik),Dział,Autor,Tytuł,Tytuł originału,Język,Wydawca,Rok wydania,Rodzaj oprawy,Wymiary,Liczba stron,Ciężar,Wydano,ISBN,EAN/UPC,Image,Description,Kategoria
/pl/scrabble_original-0746775260927,gra / game,Gry planszowe i logiczne / Board games,,Scrabble Original,,polski,Mattel,2019,Kartonowa,37.0x27.0,,"0,69 kg",,,0746775260927,/img/product_images_new/519/221519_01_scrabble_original.300.jpg,"Podstawowa, najbardziej popularna wersja gry, w której LICZY SIĘ KAŻDE SŁOWO!™ Klasyczna gra w Scrabble® polega na wymyślaniu powiązanych ze sobą słów i układaniu ich na planszy w sposób przypominający krzyżówkę. Słowa układa się z płytek z literami o różnej wartości punktowej, a wygrywa ten, kto za ułożone słowa zdobędzie najwięcej punktów. Prawdziwym wyzwaniem jest układanie słów na tych polach planszy, na których można dostać premię i uzyskać najwyższą punktację! Wiek graczy: 10+ Liczba graczy: 2 – 4.",Zabawki
/pl/jumanji_wersja_drewniana-0778988189429,,Gry planszowe i logiczne / Board games,,Jumanji wersja drewniana,,,Spin Master,,,38.5x29.0,,"1,166 kg",,,0778988189429,/img/product_images_new/732/477732_01_jumanji_wersja_drewniana.300.jpg,"Lwi pościg, starcia nosorożców i polowanie na krokodyle, to dopiero początek niebezpieczeństwa w dzikim świecie Jumanji. Rzuć ośmioboczną kostką, aby sprawdzić, co Cię czeka! Odkrywaj karty niebezpieczeństwa, sprawdzaj dekodera, aby odczytać tajną wiadomość i spróbuj uratować się przed końcem świata! Wszyscy gracze ścigają się z czasem, aby przeżyć. Dżungla jest przerażająca. Jeśli pola końca świata wypełnią się, dżungla pokona ciebie i twoich współgraczy - wszyscy przegrywacie. Jeśli pierwszy dotrzesz do centrum planszy, krzyknij ""Jumanji!"" i wygraj!","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/jumanji_wersja_drewniana-0778988189429,,Gry planszowe i logiczne / Board games,,Jumanji wersja drewniana,,,Spin Master,,,38.5x29.0,,"1,166 kg",,,0778988189429,/img/product_images_new/732/477732_01_jumanji_wersja_drewniana.300.jpg,"Lwi pościg, starcia nosorożców i polowanie na krokodyle, to dopiero początek niebezpieczeństwa w dzikim świecie Jumanji. Rzuć ośmioboczną kostką, aby sprawdzić, co Cię czeka! Odkrywaj karty niebezpieczeństwa, sprawdzaj dekodera, aby odczytać tajną wiadomość i spróbuj uratować się przed końcem świata! Wszyscy gracze ścigają się z czasem, aby przeżyć. Dżungla jest przerażająca. Jeśli pola końca świata wypełnią się, dżungla pokona ciebie i twoich współgraczy - wszyscy przegrywacie. Jeśli pierwszy dotrzesz do centrum planszy, krzyknij ""Jumanji!"" i wygraj!","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/przyjaciele_stracic_mieszkanie-0778988338957,,Gry planszowe i logiczne / Board games,,Przyjaciele: Stracić mieszkanie,,,Spin Master,,,,,"0,889 kg",,,0778988338957,/img/product_images_new/197/608197_01_spin_gra_przyjaciele_lose_theapartment.300.jpg,"Sprawdź, czy jesteś prawdziwym fanem szóstki przyjaciół z Nowego Jorku: Rachel, Moniki, Phoebe, Rossa, Chandlera i Joeygo. Gracze podróżują po planszy, odwiedzając każdy z apartamentów Przyjaciół i odpowiadają na pytania dotyczące ciekawostek związanych z serialem i jego bohaterami. Odpowiedz na 1000 trudnych pytań. W zestawie jest 200 kart z pytaniami, plansza, podkładka Przyjaciół, podkładka pod kubek, pionki do gry i kostka. Gra dla 2 lub więcej graczy, w pudełku kolekcjonerskim Przyjaciół.","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/przyjaciele_stracic_mieszkanie-0778988338957,,Gry planszowe i logiczne / Board games,,Przyjaciele: Stracić mieszkanie,,,Spin Master,,,,,"0,889 kg",,,0778988338957,/img/product_images_new/197/608197_01_spin_gra_przyjaciele_lose_theapartment.300.jpg,"Sprawdź, czy jesteś prawdziwym fanem szóstki przyjaciół z Nowego Jorku: Rachel, Moniki, Phoebe, Rossa, Chandlera i Joeygo. Gracze podróżują po planszy, odwiedzając każdy z apartamentów Przyjaciół i odpowiadają na pytania dotyczące ciekawostek związanych z serialem i jego bohaterami. Odpowiedz na 1000 trudnych pytań. W zestawie jest 200 kart z pytaniami, plansza, podkładka Przyjaciół, podkładka pod kubek, pionki do gry i kostka. Gra dla 2 lub więcej graczy, w pudełku kolekcjonerskim Przyjaciół.","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/tu_i_tam-0787790580997,,Gry planszowe i logiczne / Board games,,Tu i tam,,,Lucky Duck Games Polska,,,,,"0,889 kg",,,0787790580997,/img/product_images_new/012/660012_01_tu_i_tam.300.jpg,"Tu i tam Nowa gra słynnego Rayana Laukata Dwa warianty pozwolą dostosować grę do wieku graczy W grze występują postacie znane z takich gier jak ,,Bliżej i dalej"" oraz ,,Górą i dołem"" Witaj w Arzium, starożytnym świecie pełnym przedziwnych stworzeń, niewyobrażalnych cudów i barwnych postaci. Przez jego krainy przetoczyła się tajemnicza choroba, a cierpiące na nią stworzenia rozpoczęły bezcelową i chaotyczną wędrówkę przez świat. Twoim zadaniem jest odnalezienie ich i wybudzenie z transu, aby pomogły Ci odszukać inne zagubione dusze! Eksploruj krainę w poszukiwaniu monet i zagubionych podróżników. Odnalezione postacie przyłączą się do ciebie i pomogą w kolejnych poszukiwaniach. ,,Tu i tam"" łączy w sobie zalety gry logicznej i strategicznej. Łatwe do opanowania zasady zapewniają ciekawą rozgrywkę, w której zawarto elementy kontroli terytoriów, budowanie talii oraz układania wzorów na planszy. W Tu i Tam gracze rywalizują o jak największą liczbę uratowanych postaci. Gra zawiera ponad pięćdziesiąt dwustronnych kart, które zawierają postaci znane z innych gier Ryana Laukata, takich jak Górą i Dołem oraz Bliżej i Dalej. Grzbiet każdej karty przedstawia podzielony na sześć pól krajobraz - sześć takich kart będzie stanowić mapę rozgrywki. Kilka wariantów rozgrywki pozwoli łatwo dostosować grę do wieku i zaawansowania graczy. ,,Tu i tam"" sprawdzi się więc dobrze zarówno w rodzinnym gronie, jak i przy stole z zaawansowanymi graczami. Pięknie ilustrowane karty i kafelki przedstawiają postaci i obiekty z fantastycznego świata Arzium, w którym toczy się również akcja innych gier Ryana Laukata, w tym wydanych w Polsce ,,Górą i Dołem"" czy ,,Bliżej i Dalej"". Polskie pudełko zawiera 5 promocyjnych kart zwierząt, które urozmaicą grę. Autor:: Ryan Laukat Zawartość pudełka: 43 karty krain / postaci 12 kart startowych 4 karty pomocy 1 karta placówki 5 kart promo 96 drewnianych znaczników eksploracji 24 kafelki artefaktów 36 żetonów monet Wiek: 8+ Liczba graczy: 2-4 Czas gry: 40 minut","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki, Gry planszowe"
/pl/tu_i_tam-0787790580997,,Gry planszowe i logiczne / Board games,,Tu i tam,,,Lucky Duck Games Polska,,,,,"0,889 kg",,,0787790580997,/img/product_images_new/012/660012_01_tu_i_tam.300.jpg,"Tu i tam Nowa gra słynnego Rayana Laukata Dwa warianty pozwolą dostosować grę do wieku graczy W grze występują postacie znane z takich gier jak ,,Bliżej i dalej"" oraz ,,Górą i dołem"" Witaj w Arzium, starożytnym świecie pełnym przedziwnych stworzeń, niewyobrażalnych cudów i barwnych postaci. Przez jego krainy przetoczyła się tajemnicza choroba, a cierpiące na nią stworzenia rozpoczęły bezcelową i chaotyczną wędrówkę przez świat. Twoim zadaniem jest odnalezienie ich i wybudzenie z transu, aby pomogły Ci odszukać inne zagubione dusze! Eksploruj krainę w poszukiwaniu monet i zagubionych podróżników. Odnalezione postacie przyłączą się do ciebie i pomogą w kolejnych poszukiwaniach. ,,Tu i tam"" łączy w sobie zalety gry logicznej i strategicznej. Łatwe do opanowania zasady zapewniają ciekawą rozgrywkę, w której zawarto elementy kontroli terytoriów, budowanie talii oraz układania wzorów na planszy. W Tu i Tam gracze rywalizują o jak największą liczbę uratowanych postaci. Gra zawiera ponad pięćdziesiąt dwustronnych kart, które zawierają postaci znane z innych gier Ryana Laukata, takich jak Górą i Dołem oraz Bliżej i Dalej. Grzbiet każdej karty przedstawia podzielony na sześć pól krajobraz - sześć takich kart będzie stanowić mapę rozgrywki. Kilka wariantów rozgrywki pozwoli łatwo dostosować grę do wieku i zaawansowania graczy. ,,Tu i tam"" sprawdzi się więc dobrze zarówno w rodzinnym gronie, jak i przy stole z zaawansowanymi graczami. Pięknie ilustrowane karty i kafelki przedstawiają postaci i obiekty z fantastycznego świata Arzium, w którym toczy się również akcja innych gier Ryana Laukata, w tym wydanych w Polsce ,,Górą i Dołem"" czy ,,Bliżej i Dalej"". Polskie pudełko zawiera 5 promocyjnych kart zwierząt, które urozmaicą grę. Autor:: Ryan Laukat Zawartość pudełka: 43 karty krain / postaci 12 kart startowych 4 karty pomocy 1 karta placówki 5 kart promo 96 drewnianych znaczników eksploracji 24 kafelki artefaktów 36 żetonów monet Wiek: 8+ Liczba graczy: 2-4 Czas gry: 40 minut","Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki, Gry planszowe"
/pl/wsiasc_do_pociagu_kolekcja_map_65_-_polska-0824968211304,gra / game,Gry planszowe i logiczne / Board games,,Wsiąść do Pociągu Kolekcja Map 6.5 - Polska,,polski,Rebel,2022,,30.0x30.0,,"0,795 kg",22.08.2019,,0824968211304,/img/product_images_new/504/480504_01_wsiasc_do_pociagu_kolekcja_map_65_-_polska_rebel.300.jpg,"Od morza aż do Tatr! Od morza aż do Tatr, jak Polska długa i szeroka, rozciągają się przepiękne tereny, które tylko czekają na odkrycie. Chcesz poobserwować żubry w cieniu Puszczy Białowieskiej? A może wolisz pospacerować urokliwymi uliczkami Wrocławia? Wsiąść do Pociągu: Polska zabierze Cię w wyjątkową podróż do przeszłości, podczas której wcielisz się w kolejowego magnata z poprzedniego stulecia i przyczynisz się do rozwoju sieci połączeń kolejowych nie tylko w kraju, lecz także w sąsiednich państwach. Wsiąść do Pociągu: Polska to dodatek zaprojektowany pod kątem rozgrywki dla 2–4 osób. Gra toczy się na planszy z mapą Polski, a celem uczestników jest zrealizowanie jak największej liczby tras. Budując połączenia między miastami, a także łącząc ze sobą poszczególne kraje sąsiadujące, gracze próbują zdobyć monopol w segmencie komunikacji publicznej. Im wcześniej uda im się skomunikować dwa państwa, tym więcej punktów otrzymają. Co wyróżnia ten dodatek? Każda mapa z serii Wsiąść do Pociągu charakteryzuje się indywidualnymi zasadami, które wpływają na przebieg rozgrywki i planowanie ruchów. W przypadku mapy Polski jest to usprawnianie komunikacji między państwami ościennymi. Oprócz łączenia ze sobą miast, nasze trasy mogą docierać również do przejść granicznych, a tym samym łączyć sąsiadujące z nami kraje. Jeśli w naszej turze uda nam się stworzyć takie połączenie, dobieramy wierzchnie karty ze specjalnych stosów obu państw. Ich wartość punktowa ułożona jest malejąco, co oznacza, że gracze, który jako pierwsi dobierają karty, mogą liczyć na wyższy bonus punktowy.","Gry planszowe, Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/wsiasc_do_pociagu_kolekcja_map_65_-_polska-0824968211304,gra / game,Gry planszowe i logiczne / Board games,,Wsiąść do Pociągu Kolekcja Map 6.5 - Polska,,polski,Rebel,2022,,30.0x30.0,,"0,795 kg",22.08.2019,,0824968211304,/img/product_images_new/504/480504_01_wsiasc_do_pociagu_kolekcja_map_65_-_polska_rebel.300.jpg,"Od morza aż do Tatr! Od morza aż do Tatr, jak Polska długa i szeroka, rozciągają się przepiękne tereny, które tylko czekają na odkrycie. Chcesz poobserwować żubry w cieniu Puszczy Białowieskiej? A może wolisz pospacerować urokliwymi uliczkami Wrocławia? Wsiąść do Pociągu: Polska zabierze Cię w wyjątkową podróż do przeszłości, podczas której wcielisz się w kolejowego magnata z poprzedniego stulecia i przyczynisz się do rozwoju sieci połączeń kolejowych nie tylko w kraju, lecz także w sąsiednich państwach. Wsiąść do Pociągu: Polska to dodatek zaprojektowany pod kątem rozgrywki dla 2–4 osób. Gra toczy się na planszy z mapą Polski, a celem uczestników jest zrealizowanie jak największej liczby tras. Budując połączenia między miastami, a także łącząc ze sobą poszczególne kraje sąsiadujące, gracze próbują zdobyć monopol w segmencie komunikacji publicznej. Im wcześniej uda im się skomunikować dwa państwa, tym więcej punktów otrzymają. Co wyróżnia ten dodatek? Każda mapa z serii Wsiąść do Pociągu charakteryzuje się indywidualnymi zasadami, które wpływają na przebieg rozgrywki i planowanie ruchów. W przypadku mapy Polski jest to usprawnianie komunikacji między państwami ościennymi. Oprócz łączenia ze sobą miast, nasze trasy mogą docierać również do przejść granicznych, a tym samym łączyć sąsiadujące z nami kraje. Jeśli w naszej turze uda nam się stworzyć takie połączenie, dobieramy wierzchnie karty ze specjalnych stosów obu państw. Ich wartość punktowa ułożona jest malejąco, co oznacza, że gracze, który jako pierwsi dobierają karty, mogą liczyć na wyższy bonus punktowy.","Gry planszowe, Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty, Zabawki"
/pl/dixit-3558380022473,gra / game,Gry planszowe i logiczne / Board games,Opracowanie Zbiorowe,Dixit,,polski,Rebel,2020,Kartonowa,28.0x28.0,,"0,784 kg",,,3558380022473,/img/product_images_new/128/223128_01_dixit.300.jpg,"Wstrzymaj na chwilę oddech! Karty zostały odkryte. Ich wspólną cechą jest tajemnicze zdanie, lecz tylko jedna z kart jest do niego kluczem. Użyj swojego sprytu i intuicji, by nie dać się złapać w pułapkę zastawioną przez pozostałych graczy Dixit to wesoła i zaskakująca gra skojarzeń do wspólnego odkrywania w gronie przyjaciół i rodziny. Na czym to polega? Każdy gracz w swojej turze staje się bajarzem. Wybiera spośród swoich 6 obrazków jeden i wymyśla do niego skojarzenie. Zdanie może być pojedynczym słowem, dźwiękiem, cytatem - nie ma tu ograniczeń, można nawet coś zaśpiewać! Następnie pozostali gracze wybierają spośród swoich kart taką, która ich zdaniem najlepiej pasuje do hasła bajarza i kładą zakrytą na stole. Bajarz przetasowuje wszystkie te karty, łącznie ze swoją i układa je na stole, odkrywając. Gracze (poza bajarzem) w tajemnicy głosują, która karta jest tą kartą, do której bajarz wymyślał skojarzenie. Kiedy wszyscy dokonają wyboru, rozpoczyna się przyznawanie punktów. Jeśli nikt nie zgadnie, która karta należała do bajarza, bo jego skojarzenie było zbyt abstrakcyjne, to nie otrzymuje on żadnych punktów, a nagradzani są pozostali gracze. Podobnie jeśli wszystkie głosy wskażą kartę bajarza – to znaczy, że skojarzenie było za proste, albo zbyt dosłowne. W innych kombinacjach przydzielane są punkty i uwaga, jeśli którykolwiek z graczy zagłosuje na zagraną przez Ciebie kartę, bo zagrałeś coś co jego zdaniem lepiej pasowało do skojarzenia to dostajesz bonusowe punkty! Warto więc sprytnie zagrywać karty, próbując zmylić innych graczy, jednocześnie zachowując te, do których mamy ciekawe skojarzenie i czekając z ich zagraniem do momentu, aż przyjdzie Twoja kolej. Pamiętaj, że jeden obraz jest wart więcej niż tysiąc słów! Zawartość pudełka: 84 wielkoformatowe karty 1 plansza z torem punktów wewnątrz pudełka 6 drewnianych pionków królików 36 znaczników głosowania instrukcja Liczba graczy: 3-6 Wiek graczy: 8+ Czas rozgrywki: 30 minut","Zabawki, Hobby. Rekreacja, Gry i zabawy towarzyskie. Łamigłówki. Szachy. Karty"
